"","N_fac","group","model","N","True_score","Diff_from_true","SE"
"1","500","CG Asian men","Bay.",28.3462343096234,47,3.99761820083682,5.16292782426778
"2","500","CG Asian men","Freq.",28.3462343096234,47,3.99948744769874,4.93813807531381
"3","500","CG Asian men","MAIHDA",28.3462343096234,47,3.38450209205021,4.58903242677824
"4","500","CG Asian women","Bay.",15.918410041841,37,4.72572175732218,6.21270292887029
"5","500","CG Asian women","Freq.",15.918410041841,37,4.72748744769874,6.06089853556485
"6","500","CG Asian women","MAIHDA",15.918410041841,37,3.59785983263598,4.96598326359833
"7","500","CG Black men","Bay.",11.7625523012552,41,5.35785355648536,6.95860669456067
"8","500","CG Black men","Freq.",11.7625523012552,41,5.35130334728033,6.84855543933054
"9","500","CG Black men","MAIHDA",11.7625523012552,41,4.22228451882845,5.64010564853556
"10","500","CG Black women","Bay.",6.66317991631799,29,6.79982531380753,8.92659414225941
"11","500","CG Black women","Freq.",6.66317991631799,29,6.79948535564854,8.91416841004184
"12","500","CG Black women","MAIHDA",6.66317991631799,29,4.34559414225941,6.07784205020921
"13","500","CG Hispanic men","Bay.",15.0606694560669,37,5.02525313807531,6.32246966527197
"14","500","CG Hispanic men","Freq.",15.0606694560669,37,5.01998117154812,6.18185564853556
"15","500","CG Hispanic men","MAIHDA",15.0606694560669,37,3.67141422594142,5.03750418410042
"16","500","CG Hispanic women","Bay.",8.48744769874477,28,6.16419037656904,8.00915690376569
"17","500","CG Hispanic women","Freq.",8.48744769874477,28,6.15780543933054,7.96059518828452
"18","500","CG Hispanic women","MAIHDA",8.48744769874477,28,3.53330543933054,5.44836506276151
"19","500","CG White Hispanic men","Bay.",20.2468619246862,40,4.6589780334728,5.71696129707113
"20","500","CG White Hispanic men","Freq.",20.2468619246862,40,4.66102928870293,5.53384309623431
"21","500","CG White Hispanic men","MAIHDA",20.2468619246862,40,3.48830334728033,4.8262489539749
"22","500","CG White Hispanic women","Bay.",11.3702928870293,32,5.53528870292887,7.04067887029289
"23","500","CG White Hispanic women","Freq.",11.3702928870293,32,5.53416631799163,6.94439121338912
"24","500","CG White Hispanic women","MAIHDA",11.3702928870293,32,3.86073326359833,5.23526673640167
"25","500","CG White men","Bay.",129.042887029289,49,2.94365690376569,3.92825
"26","500","CG White men","Freq.",129.042887029289,49,2.93731485355649,3.54671757322176
"27","500","CG White men","MAIHDA",129.042887029289,49,2.90631066945607,3.86901046025105
"28","500","CG White women","Bay.",72.8964435146443,35,3.13014644351464,4.220910041841
"29","500","CG White women","Freq.",72.8964435146443,35,3.12546234309623,3.88918305439331
"30","500","CG White women","MAIHDA",72.8964435146443,35,3.1172730125523,4.09383054393305
"31","500","FG Asian men","Bay.",16.1935146443515,44,4.8109309623431,6.15304184100418
"32","500","FG Asian men","Freq.",16.1935146443515,44,4.81028451882845,6.00142468619247
"33","500","FG Asian men","MAIHDA",16.1935146443515,44,3.70833891213389,4.96404393305439
"34","500","FG Asian women","Bay.",9.05543933054393,37,5.73969874476987,7.75893305439331
"35","500","FG Asian women","Freq.",9.05543933054393,37,5.73896234309623,7.69157008368201
"36","500","FG Asian women","MAIHDA",9.05543933054393,37,3.65770815899582,5.34907217573222
"37","500","FG Black men","Bay.",6.65899581589958,37,7.35873953974895,8.96794979079498
"38","500","FG Black men","Freq.",6.65899581589958,37,7.34977092050209,8.94877615062762
"39","500","FG Black men","MAIHDA",6.65899581589958,37,4.59289644351464,6.09218619246862
"40","500","FG Black women","Bay.",3.7479079497908,32,9.33012133891213,11.949289748954
"41","500","FG Black women","Freq.",3.7479079497908,32,9.32381485355648,12.0323023012552
"42","500","FG Black women","MAIHDA",3.7479079497908,32,4.88771861924686,6.47981171548117
"43","500","FG Hispanic men","Bay.",8.48640167364017,36,6.05507322175732,7.97309518828452
"44","500","FG Hispanic men","Freq.",8.48640167364017,36,6.05904079497908,7.91056589958159
"45","500","FG Hispanic men","MAIHDA",8.48640167364017,36,3.89435878661088,5.45589121338912
"46","500","FG Hispanic women","Bay.",4.82217573221757,30,8.74969874476987,10.5658619246862
"47","500","FG Hispanic women","Freq.",4.82217573221757,30,8.74491945606695,10.6025052301255
"48","500","FG Hispanic women","MAIHDA",4.82217573221757,30,3.98425836820084,5.84554393305439
"49","500","FG White Hispanic men","Bay.",11.4476987447699,40,5.66914748953975,7.04372384937238
"50","500","FG White Hispanic men","Freq.",11.4476987447699,40,5.66562133891213,6.94233786610879
"51","500","FG White Hispanic men","MAIHDA",11.4476987447699,40,3.63860878661088,5.21714225941423
"52","500","FG White Hispanic women","Bay.",6.3734309623431,35,7.26798012552301,9.11505753138075
"53","500","FG White Hispanic women","Freq.",6.3734309623431,35,7.265089958159,9.11341422594142
"54","500","FG White Hispanic women","MAIHDA",6.3734309623431,35,5.21911506276151,5.64387761506276
"55","500","FG White men","Bay.",72.5313807531381,48,3.23189958158996,4.22817259414226
"56","500","FG White men","Freq.",72.5313807531381,48,3.23045083682008,3.8922960251046
"57","500","FG White men","MAIHDA",72.5313807531381,48,3.01339225941423,4.06876464435146
"58","500","FG White women","Bay.",40.8880753138075,38,3.54909832635983,4.71430543933054
"59","500","FG White women","Freq.",40.8880753138075,38,3.54395083682008,4.4405010460251
"60","500","FG White women","MAIHDA",40.8880753138075,38,3.13973221757322,4.3511140167364
"61","1000","CG Asian men","Bay.",56.779,47,2.842564,3.526937
"62","1000","CG Asian men","Freq.",56.779,47,2.842682,3.48785
"63","1000","CG Asian men","MAIHDA",56.779,47,2.493505,3.163923
"64","1000","CG Asian women","Bay.",32.289,37,3.474883,4.225541
"65","1000","CG Asian women","Freq.",32.289,37,3.470744,4.22332
"66","1000","CG Asian women","MAIHDA",32.289,37,2.623649,3.480247
"67","1000","CG Black men","Bay.",23.582,41,3.841574,4.759211
"68","1000","CG Black men","Freq.",23.582,41,3.845516,4.77224
"69","1000","CG Black men","MAIHDA",23.582,41,3.007202,3.942329
"70","1000","CG Black women","Bay.",13.089,29,4.840995,6.114791
"71","1000","CG Black women","Freq.",13.089,29,4.834233,6.173857
"72","1000","CG Black women","MAIHDA",13.089,29,3.046601,4.323273
"73","1000","CG Hispanic men","Bay.",30.162,37,3.58249,4.329293
"74","1000","CG Hispanic men","Freq.",30.162,37,3.578509,4.330434
"75","1000","CG Hispanic men","MAIHDA",30.162,37,2.742822,3.540467
"76","1000","CG Hispanic women","Bay.",17.08,28,4.708346,5.415446
"77","1000","CG Hispanic women","Freq.",17.08,28,4.705305,5.454527
"78","1000","CG Hispanic women","MAIHDA",17.08,28,2.776351,3.867508
"79","1000","CG White Hispanic men","Bay.",40.493,40,3.137229,3.907575
"80","1000","CG White Hispanic men","Freq.",40.493,40,3.135111,3.890161
"81","1000","CG White Hispanic men","MAIHDA",40.493,40,2.465246,3.351954
"82","1000","CG White Hispanic women","Bay.",22.801,32,3.879389,4.811068
"83","1000","CG White Hispanic women","Freq.",22.801,32,3.881082,4.834272
"84","1000","CG White Hispanic women","MAIHDA",22.801,32,2.75282,3.709629
"85","1000","CG White men","Bay.",258.155,49,2.09097,2.63741
"86","1000","CG White men","Freq.",258.155,49,2.088261,2.53505
"87","1000","CG White men","MAIHDA",258.155,49,2.063896,2.601844
"88","1000","CG White women","Bay.",145.066,35,2.237729,2.852757
"89","1000","CG White women","Freq.",145.066,35,2.237112,2.771715
"90","1000","CG White women","MAIHDA",145.066,35,2.36684,2.7901
"91","1000","FG Asian men","Bay.",31.879,44,3.354112,4.247266
"92","1000","FG Asian men","Freq.",31.879,44,3.356685,4.242501
"93","1000","FG Asian men","MAIHDA",31.879,44,2.748634,3.497588
"94","1000","FG Asian women","Bay.",18.315,37,4.301617,5.265669
"95","1000","FG Asian women","Freq.",18.315,37,4.297238,5.301137
"96","1000","FG Asian women","MAIHDA",18.315,37,2.782616,3.809751
"97","1000","FG Black men","Bay.",13.306,37,4.746813,6.055487
"98","1000","FG Black men","Freq.",13.306,37,4.745,6.12136
"99","1000","FG Black men","MAIHDA",13.306,37,3.493947,4.348289
"100","1000","FG Black women","Bay.",7.393,32,6.5969,8.085254
"101","1000","FG Black women","Freq.",7.393,32,6.595219,8.20445
"102","1000","FG Black women","MAIHDA",7.393,32,3.446888,4.699274
"103","1000","FG Hispanic men","Bay.",16.828,36,4.539473,5.466031
"104","1000","FG Hispanic men","Freq.",16.828,36,4.539786,5.509375
"105","1000","FG Hispanic men","MAIHDA",16.828,36,3.257012,3.903763
"106","1000","FG Hispanic women","Bay.",9.56,30,5.603217,7.120207
"107","1000","FG Hispanic women","Freq.",9.56,30,5.606116,7.207685
"108","1000","FG Hispanic women","MAIHDA",9.56,30,2.919051,4.228978
"109","1000","FG White Hispanic men","Bay.",22.708,40,3.837743,4.828182
"110","1000","FG White Hispanic men","Freq.",22.708,40,3.838987,4.845969
"111","1000","FG White Hispanic men","MAIHDA",22.708,40,2.583929,3.681438
"112","1000","FG White Hispanic women","Bay.",12.74,35,4.91485,6.19076
